title,price,Rating,free_shipping_status,draz_mall_status,seller_rating,ship_on_time_score,score
Redmi Note 12 (8GB-256GB) PTA Approved With Official 1 Year Warranty,"Rs. 61,999",4.6,free shiping,status avail,93%,100%,"Rs. 61,999"
"Redmi Note 12 Pro , 8GB Ram 256GB Rom , 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 67W","Rs. 88,499",5.0,free shiping,status not avail,91%,63%,"Rs. 88,499"
Xiaomi Redmi Note 12 || 8GB Ram 128GB Rom || 5000mAh Battery 33W Fast Charger,"Rs. 51,499",4.7,free shiping,status not avail,91%,71%,"Rs. 51,499"
"Redmi Note 12 - 6.67"" Inch Display - 8GB RAM - 128GB / 256GB ROM","Rs. 53,799",4.1,free shiping,status not avail,85%,62%,"Rs. 53,799"
"Xiaomi Redmi Note 12 Pro RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 08 MP + 02 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 88,840",5.0,free shiping,status not avail,93%,94%,"Rs. 88,840"
"Xiaomi Redmi Note 12 Pro RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 08 MP + 02 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 88,880",5.0,free shiping,status not avail,95%,94%,"Rs. 88,880"
"XIAOMI REDMI NOTE 12 8GB RAM 128GB ROM || 6.67"" DISPLAY || 5000mAh BATTERY || PTA APPROVED || ONE YEAR BRAND WARRANTY","Rs. 59,500",5.0,free shiping,status not avail,92%,77%,"Rs. 59,500"
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,"Rs. 51,999",4.8,free shiping,status avail,93%,100%,"Rs. 51,999"
Redmi Note 12 Pro (8GB-256GB) PTA Approved With Official 1 Year Warranty,"Rs. 89,999",4.6,free shiping,status avail,93%,100%,"Rs. 89,999"
Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||,"Rs. 51,699",4.9,free shiping,status not avail,91%,63%,"Rs. 51,699"
Xiaomi Redmi Note 12 - 8GB RAM 128GB/256GB ROM - 5000mAh Battery,"Rs. 53,999",5.0,free shiping,status not avail,89%,79%,"Rs. 53,999"
"Redmi Note 12 8GB Ram 128GB Rom, Display Size 6.67 Inches, Battery Capacity 5000 mAh , Fast charging 33W","Rs. 52,999",5.0,free shiping,status not avail,93%,80%,"Rs. 52,999"
Redmi Note 12 || 8GB Ram 256GB Rom || 5000mAh Battery,"Rs. 61,499",5.0,free shiping,status not avail,91%,71%,"Rs. 61,499"
"Redmi Note 12 Pro - 6.67"" Inch Display - 8GB RAM - 256GB ROM","Rs. 88,599",3.7,free shiping,status not avail,85%,62%,"Rs. 88,599"
