,Movie Title,Run Time,Rating,Age restriction,Genre,writer,Director
0,The Marvels,1h 45m,6.0,PG-13,Action Adventure Fantasy,['Nia DaCosta'],"['Director', 'Nia DaCosta']"
1,Five Nights at Freddy's,1h 49m,5.5,PG-13,Horror Mystery Thriller,-,-
2,The Killer,1h 58m,6.9,R,Action Adventure Crime,['David Fincher'],"['Director', 'David Fincher']"
3,Killers of the Flower Moon,3h 26m,8.0,R,Crime Drama History,['Martin Scorsese'],"['Director', 'Martin Scorsese']"
4,A Haunting in Venice,1h 43m,6.6,PG-13,Crime Drama Horror,['Kenneth Branagh'],"['Director', 'Kenneth Branagh']"
5,Mean Girls,-,6,-,Comedy Musical,-,-
6,Nyad,2h 1m,7.1,PG-13,Biography Drama Sport,['Jimmy Chin'],"['Directors', 'Jimmy ChinElizabeth Chai Vasarhelyi']"
7,Oppenheimer,3h,8.5,R,Biography Drama History,['Christopher Nolan'],"['Director', 'Christopher Nolan']"
8,Locked In,1h 36m,5.1,TV-MA,Horror Mystery Thriller,-,-
9,The Hunger Games: The Ballad of Songbirds & Snakes,2h 37m,7.2,PG-13,Action Adventure Drama,['Francis Lawrence'],"['Director', 'Francis Lawrence']"
10,Priscilla,1h 53m,7.1,R,Biography Drama Music,['Sofia Coppola'],"['Director', 'Sofia Coppola']"
11,Pain Hustlers,2h 3m,6.5,R,Crime Drama,-,-
12,No Hard Feelings,1h 43m,6.4,R,Comedy Romance,-,-
13,Inside Out 2,-,14,-,Animation Adventure Comedy,-,-
14,Spider-Man: Across the Spider-Verse,2h 20m,8.7,PG,Animation Action Adventure,['Joaquim Dos Santos'],"['Directors', 'Joaquim Dos SantosKemp PowersJustin K. Thompson']"
15,Quiz Lady,1h 39m,6.7,R,Comedy,-,-
16,Jawan,2h 49m,7.1,Not Rated,Action Thriller,-,-
17,Napoleon,2h 38m,18,R,Action Adventure Biography,['Ridley Scott'],"['Director', 'Ridley Scott']"
18,Ghostbusters: Frozen Empire,-,19,-,Adventure Comedy Fantasy,-,-
19,Old Dads,1h 44m,6.2,R,Comedy,-,-
20,Kingdom of the Planet of the Apes,-,21,-,Action Sci-Fi,-,-
