,Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Degree Title,Career Level,Minimum Experience,Apply Before,Posting Date,Age,Experience,Department,link_to_job
0,Accounting / Taxation,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Gulberg 3, Lahore, Pakistan",Male,Bachelors,Commerce (BCOM) or Business Administration (BBA) with a specialisation in accounting.,Entry Level,1 Year,"Nov 19, 2023","Oct 18, 2023",0,0,0,https://www.rozee.pk/octa-accountant-accounting-associate-lahore-jobs-1424345?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424345&utm_campaign=ROZEE.PK_job_search
1,Shipping / Marine,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,ACA/ACCA or equivalent degree,Experienced Professional,5 Years,"Nov 27, 2023","Oct 26, 2023",0,0,0,https://www.rozee.pk/imgs-group-accounting-coordinator-karachi-jobs-1427267?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427267&utm_campaign=ROZEE.PK_job_search
2,Pharmaceuticals / Clinical Research,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Ferozpur Road, Lahore, Pakistan",Male,Bachelors,FCMA preferred or any CERTIFICATION MUST,Experienced Professional,10 Years,"Nov 22, 2023","Oct 22, 2023",0,0,0,https://www.rozee.pk/contour-software-accounting-trainee-jobs-1415015.php?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1415015&utm_campaign=ROZEE.PK_job_search
3,Accounting / Taxation,"Accounts, Finance & Financial Services",35+ Posts,Second Shift (Afternoon),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,"ACCA, CA, CMA, CPA (Certified or Finalist) / B. Com / M. Com / MBA Accounting/ Finance",Entry Level,Fresh (English should be on Professional Level),"Dec 10, 2023","Nov 10, 2023",0,0,0,https://www.rozee.pk/job/detail/1425553?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1425553&utm_campaign=ROZEE.PK_job_search
4,Distribution and Logistics,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"I.I Chundrigar Road, Karachi, Pakistan",Male,Bachelors,Bachelor degree in commerce,Experienced Professional,5 Years,"Dec 08, 2023","Nov 07, 2023",35 - 50 Years,0,0,https://www.rozee.pk/contour-software-application-support-analyst-accounting-trainee-jobs-1422345.php?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1422345&utm_campaign=ROZEE.PK_job_search
5,Travel/Tourism/Transportation,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 03, 2023","Nov 02, 2023",0,0,Accounts Department,https://www.rozee.pk/vision-village-pvt-ltd-accountant-lahore-jobs-1432395?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432395&utm_campaign=ROZEE.PK_job_search
6,Manufacturing,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Gujranwala, Kamoke, Muridkay, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Nov 19, 2023","Oct 18, 2023",0,0,Finance,https://www.rozee.pk/reliable-trading-agency-accountant-karachi-jobs-1431277?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431277&utm_campaign=ROZEE.PK_job_search
7,Hotel Management / Restaurants,"Accounts, Finance & Financial Services",5 Posts,First Shift (Day),Full Time/Permanent,"New Garden Town, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Nov 25, 2023","Oct 24, 2023",25 - 40 Years,0,Human Resources,https://www.rozee.pk/nile-consultants-accountant-islamabad-jobs-1429535?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429535&utm_campaign=ROZEE.PK_job_search
8,0,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Township, Lahore, Pakistan",Male,Intermediate/A-Level,0,Entry Level,Less than 1 Year,"Dec 01, 2023","Oct 30, 2023",0,0,Accounts Department,https://www.rozee.pk/job/detail/1424179?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424179&utm_campaign=ROZEE.PK_job_search
9,Agriculture / Fertilizer / Pesticide,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",Male,Bachelors,0,Experienced Professional,3 Years,"Dec 03, 2023","Nov 03, 2023",0,0,Operations,https://www.rozee.pk/mei-kong-private-limited-accountant-lahore-jobs-1426331?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426331&utm_campaign=ROZEE.PK_job_search
10,Construction / Cement / Metals,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Contract,"Faisal Town, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,0,"Nov 25, 2023","Oct 24, 2023",20 - 22 Years,3 Years - 4 Years,Audit,https://www.rozee.pk/the-pebble-accountant-lahore-jobs-1428629?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428629&utm_campaign=ROZEE.PK_job_search
11,Agriculture / Fertilizer / Pesticide,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Kamoke, Pakistan",Male,Bachelors,"BBA, MBA or related Bachelor degree",Experienced Professional,0,"Nov 26, 2023","Oct 25, 2023",0,Less than 1 Year - 2 Years,Audit,https://www.rozee.pk/manaal-foods-private-limited-accounts-officer-karachi-jobs-1429819?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429819&utm_campaign=ROZEE.PK_job_search
12,Shipping / Marine,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,"Bachelor's degree in Accounting, Finance or related field",Experienced Professional,"5 Years (Big 4 experience would be an advantage (PwC, KPMG, Deloitte or EY))","Dec 02, 2023","Oct 31, 2023",0,2 Years - 3 Years,HR,https://www.rozee.pk/integrated-mep-accountant-lahore-jobs-1426625?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426625&utm_campaign=ROZEE.PK_job_search
13,Call Center,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Gulberg 3, Lahore, Pakistan",Male,Masters,0,Experienced Professional,3 Years,"Nov 27, 2023","Oct 27, 2023",0,1 Year - 3 Years (Must know the knowledge of Taxation),Finance & Accounts,https://www.rozee.pk/usman-group-of-companie-accountant-kamoke-jobs-1427071?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427071&utm_campaign=ROZEE.PK_job_search
14,Accounting / Taxation,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Dalazak Road, Peshawar, Pakistan",Male,Bachelors,B.com,Experienced Professional,0,"Dec 12, 2023","Nov 12, 2023",22 - 30 Years,1 Year - 3 Years (1 Year - 3 Years (Preference will be given to candidates having served in an NGO providing harm re),HR,https://www.rozee.pk/imgs-group-accounts-supervisor-karachi-jobs-1428815?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428815&utm_campaign=ROZEE.PK_job_search
15,Services,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Raja Bazar, Rawalpindi, Pakistan",Male,Bachelors,0,Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",0,3 Years - 5 Years,HR,https://www.rozee.pk/ishine-technologies-accounts-executive-lahore-jobs-1427363?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427363&utm_campaign=ROZEE.PK_job_search
16,Construction / Cement / Metals,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",Male,Bachelors,B.Com or Alternative,Experienced Professional,3 Years,"Nov 23, 2023","Oct 31, 2023",0,Fresh - 3 Years,HR,https://www.rozee.pk/sudais-associates-accountant-peshawar-jobs-1432807?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432807&utm_campaign=ROZEE.PK_job_search
17,0,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Qanchi, Lahore, Pakistan",Female,Bachelors,0,Entry Level,1 Year,"Dec 14, 2023","Nov 13, 2023",0,Less than 1 Year - 2 Years,Software Development,https://www.rozee.pk/easy-shopping-accountant-rawalpindi-jobs-1433279?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433279&utm_campaign=ROZEE.PK_job_search
18,N.G.O./Social Services,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Khairpur, Pakistan",Male,Bachelors,"Graduate, preferably B.Com",Experienced Professional,0,"Nov 26, 2023","Nov 13, 2023",0,1 Year - 2 Years,Software Development,https://www.rozee.pk/gondal-construction-company-accounts-officer-karachi-jobs-1428827?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428827&utm_campaign=ROZEE.PK_job_search
19,Advertising / PR,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Kahna Nau, Lahore, Pakistan",No Preference,Masters,"ACCA, MBA (3.5)Year",Experienced Professional,5 Years,"Nov 21, 2023","Nov 08, 2023",0,2 Years - 4 Years,HR,https://www.rozee.pk/salt-lamps-accountant-lahore-jobs-1433121?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433121&utm_campaign=ROZEE.PK_job_search
20,Call Center,"Accounts, Finance & Financial Services",15 Posts,Third Shift (Night),Full Time/Permanent,"Cavalry Ground, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,Fresh,"Dec 08, 2023","Nov 07, 2023",0,3 Years - 4 Years,Permanent Recruitment - Outsourcing,https://www.rozee.pk/nai-zindagi-admin-accounts-assistant-khairpur-jobs-1433099?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433099&utm_campaign=ROZEE.PK_job_search
21,AutoMobile,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Faisal Town, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,Less than 1 Year,"Dec 10, 2023","Nov 09, 2023",0,2 Years - 6 Years (Please read the above details carefully and then apply for the post please),Risk Management Division,https://www.rozee.pk/multitec-international-accounts-manager-lahore-jobs-1424975?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424975&utm_campaign=ROZEE.PK_job_search
22,Chemicals,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,BBA/B.com Accounting,Experienced Professional,2 Years (Having problem solving skills),"Dec 12, 2023","Nov 12, 2023",0,"3 Years - 4 Years (Atleast 03 years of relevant experience in compliance, program audits and fraud investigations and also having experience of conducting audits and developing audit reports/management letters.)",Business Banking,https://www.rozee.pk/softnix-solutions-accounts-officer-lahore-jobs-1431121?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431121&utm_campaign=ROZEE.PK_job_search
23,Information Technology,"Accounts, Finance & Financial Services",1 Post,Second Shift (Afternoon),Full Time/Permanent,"Bagh, Pakistan",No Preference,Matriculation/O-Level,0,Experienced Professional,3 Years,"Dec 12, 2023","Nov 11, 2023",0,10 Years - 15 Years (10-15 years of relevant experience),Business Banking,https://www.rozee.pk/zulfiqar-motors-coltd-accounts-executive-lahore-jobs-1432335?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432335&utm_campaign=ROZEE.PK_job_search
